"DATA_LEVEL","SCHOOL_YEAR","REPORTING_PERIOD","DISTRICT_NUMBER","DISTRICT_NAME","EMPLOYMENT_CATEGORY","GENDER","HEADCOUNT","FTE","AVERAGE_AGE","AVERAGE_ANNUAL_SALARY_PER_FTE"
"District level","2019/2020","Q1","058","Nicola-Similkameen","Educator","F","116","108.914","43","75600"
"District level","2019/2020","Q1","058","Nicola-Similkameen","Educator","M","55","53.307","45","86305"
"District level","2019/2020","Q1","058","Nicola-Similkameen","Teacher","All","153","144.221","43","72670"
"District level","2019/2020","Q1","058","Nicola-Similkameen","Teacher","F","109","101.914","42","71481"
"District level","2019/2020","Q1","058","Nicola-Similkameen","Teacher","M","44","42.307","44","75616"
"District level","2019/2020","Q1","059","Peace River South","Administrator","All","33","33","46","115931"
"District level","2019/2020","Q1","059","Peace River South","Administrator","F","21","21","50","116625"
"District level","2019/2020","Q1","059","Peace River South","Educator","All","261","244.937","44","79787"
"District level","2019/2020","Q1","059","Peace River South","Educator","F","200","185.557","44","79225"
"District level","2019/2020","Q1","059","Peace River South","Educator","M","61","59.38","42","81552"
"District level","2019/2020","Q1","059","Peace River South","Teacher","F","179","164.557","44","74861"
"District level","2019/2020","Q1","059","Peace River South","Teacher","M","49","47.38","43","73074"
"District level","2019/2020","Q1","060","Peace River North","Administrator","All","48","45.6","49","105091"
"District level","2019/2020","Q1","060","Peace River North","Administrator","F","25","22.6","51","101382"
"District level","2019/2020","Q1","060","Peace River North","Administrator","M","23","23","47","108960"
"District level","2019/2020","Q1","060","Peace River North","Educator","All","428","402.4877","42","76012"
"District level","2019/2020","Q1","060","Peace River North","Teacher","M","109","107.669","41","70921"
"District level","2019/2020","Q1","061","Greater Victoria","Administrator","All","112","111","49","123582"
"District level","2019/2020","Q1","061","Greater Victoria","Administrator","F","66","66","49","121901"
"District level","2019/2020","Q1","061","Greater Victoria","Educator","All","1526","1377.232","44","78892"
"District level","2019/2020","Q1","061","Greater Victoria","Educator","F","1087","963.52","43","77692"
"District level","2019/2020","Q1","061","Greater Victoria","Educator","M","439","413.712","45","82041"
"District level","2019/2020","Q1","061","Greater Victoria","Teacher","All","1414","1266.232","43","75771"
"District level","2019/2020","Q1","061","Greater Victoria","Teacher","F","1021","897.52","42","75165"
"District level","2019/2020","Q1","061","Greater Victoria","Teacher","M","393","368.712","45","77434"
"District level","2019/2020","Q1","062","Sooke","Administrator","All","66","66","49","122005"
"District level","2019/2020","Q1","062","Sooke","Administrator","M","23","23","50","127264"
"District level","2019/2020","Q1","062","Sooke","Educator","All","809","754.826","43","78888"
"District level","2019/2020","Q1","062","Sooke","Educator","F","586","541.615","43","78249"
"District level","2019/2020","Q1","062","Sooke","Teacher","All","743","688.826","42","75439"
"District level","2019/2020","Q1","062","Sooke","Teacher","M","200","190.211","43","75643"
"District level","2019/2020","Q1","063","Saanich","Administrator","All","44","43","49","125685"
"District level","2019/2020","Q1","063","Saanich","Administrator","F","26","25","49","123042"
"District level","2019/2020","Q1","063","Saanich","Administrator","M","18","18","50","129357"
"District level","2019/2020","Q1","063","Saanich","Educator","All","560","508.643","43","78370"
"District level","2019/2020","Q1","063","Saanich","Educator","F","408","367.118","43","77337"
"District level","2019/2020","Q1","063","Saanich","Educator","M","152","141.525","43","81005"
"District level","2019/2020","Q1","063","Saanich","Teacher","All","517","465.643","43","74979"
"District level","2019/2020","Q1","063","Saanich","Teacher","M","134","123.525","42","75665"
"District level","2019/2020","Q1","064","Gulf Islands","Administrator","All","17","16.5","47","118862"
"District level","2019/2020","Q1","064","Gulf Islands","Administrator","M","Msk","Msk","Msk","Msk"
"District level","2019/2020","Q1","064","Gulf Islands","Educator","F","93","82.762","50","81442"
"District level","2019/2020","Q1","064","Gulf Islands","Educator","M","40","37.3463","48","87239"
"District level","2019/2020","Q1","064","Gulf Islands","Teacher","All","116","103.6083","50","77976"
"District level","2019/2020","Q1","064","Gulf Islands","Teacher","F","82","72.262","50","77137"
"District level","2019/2020","Q1","064","Gulf Islands","Teacher","M","34","31.3463","49","80206"
"District level","2019/2020","Q1","067","Okanagan Skaha","Administrator","All","37","36.4","49","121375"
"District level","2019/2020","Q1","067","Okanagan Skaha","Administrator","F","17","17","50","119752"
"District level","2019/2020","Q1","067","Okanagan Skaha","Administrator","M","20","19.4","48","122754"
"District level","2019/2020","Q1","067","Okanagan Skaha","Educator","All","418","390.368","43","79550"
"District level","2019/2020","Q1","067","Okanagan Skaha","Educator","F","286","263.991","43","77901"
"District level","2019/2020","Q1","067","Okanagan Skaha","Educator","M","132","126.377","44","83575"
"District level","2019/2020","Q1","067","Okanagan Skaha","Teacher","All","381","353.968","43","76366"
"District level","2019/2020","Q1","067","Okanagan Skaha","Teacher","F","269","246.991","43","75891"
"District level","2019/2020","Q1","067","Okanagan Skaha","Teacher","M","112","106.977","44","77639"
"District level","2019/2020","Q1","068","Nanaimo-Ladysmith","Administrator","All","75","75","49","124880"
"District level","2019/2020","Q1","068","Nanaimo-Ladysmith","Educator","All","980","919.4812","44","80266"
"District level","2019/2020","Q1","068","Nanaimo-Ladysmith","Educator","F","698","646.1062","44","79037"
"District level","2019/2020","Q1","068","Nanaimo-Ladysmith","Educator","M","282","273.375","45","83280"
"District level","2019/2020","Q1","068","Nanaimo-Ladysmith","Teacher","All","905","844.4812","44","76672"
"District level","2019/2020","Q1","068","Nanaimo-Ladysmith","Teacher","F","656","604.1062","44","76347"
"District level","2019/2020","Q1","068","Nanaimo-Ladysmith","Teacher","M","249","240.375","45","77519"
"District level","2019/2020","Q1","069","Qualicum","Administrator","F","17","17","49","115452"
"District level","2019/2020","Q1","069","Qualicum","Administrator","M","11","11","50","114858"
"District level","2019/2020","Q1","069","Qualicum","Educator","All","313","293.785","45","79578"
"District level","2019/2020","Q1","069","Qualicum","Teacher","All","285","265.785","45","76398"
"District level","2019/2020","Q1","069","Qualicum","Teacher","M","83","80.515","45","77758"
"District level","2019/2020","Q1","070","Pacific Rim","Administrator","All","28","33","47","120861"
"District level","2019/2020","Q1","070","Pacific Rim","Administrator","F","13","15","48","114473"
"District level","2019/2020","Q1","070","Pacific Rim","Administrator","M","15","18","47","126185"
"District level","2019/2020","Q1","070","Pacific Rim","Educator","All","272","265.1874","44","81015"
"District level","2019/2020","Q1","070","Pacific Rim","Educator","F","192","183.905","44","78790"
"District level","2019/2020","Q1","070","Pacific Rim","Educator","M","80","81.2824","45","86472"
"District level","2019/2020","Q1","070","Pacific Rim","Teacher","F","179","168.905","43","75987"
"District level","2019/2020","Q1","071","Comox Valley","Administrator","All","50","49.4","52","123530"
"District level","2019/2020","Q1","071","Comox Valley","Administrator","F","21","21","53","119772"
"District level","2019/2020","Q1","071","Comox Valley","Administrator","M","29","28.4","50","126251"
"District level","2019/2020","Q1","071","Comox Valley","Educator","All","612","547.9158","47","81995"
"District level","2019/2020","Q1","071","Comox Valley","Educator","M","169","161.8756","48","87630"
"District level","2019/2020","Q1","071","Comox Valley","Teacher","All","562","498.5158","46","78377"
"District level","2019/2020","Q1","071","Comox Valley","Teacher","F","422","365.0402","46","77929"
"District level","2019/2020","Q1","071","Comox Valley","Teacher","M","140","133.4756","47","79743"
"District level","2019/2020","Q1","072","Campbell River","Administrator","All","36","36","52","125272"
"District level","2019/2020","Q1","072","Campbell River","Administrator","F","23","23","52","122139"
"District level","2019/2020","Q1","072","Campbell River","Educator","All","412","376.573","44","79702"
"District level","2019/2020","Q1","072","Campbell River","Educator","F","306","277.247","44","78324"
"District level","2019/2020","Q1","072","Campbell River","Educator","M","106","99.326","44","83694"
"District level","2019/2020","Q1","072","Campbell River","Teacher","F","284","254.247","43","74738"
"District level","2019/2020","Q1","073","Kamloops-Thompson","Administrator","F","42","42","51","122272"
"District level","2019/2020","Q1","073","Kamloops-Thompson","Administrator","M","43","43","49","126015"
"District level","2019/2020","Q1","073","Kamloops-Thompson","Educator","All","1048","969.5994","44","82931"
"District level","2019/2020","Q1","073","Kamloops-Thompson","Educator","M","281","273.676","45","87051"
"District level","2019/2020","Q1","073","Kamloops-Thompson","Teacher","All","963","884.5994","43","79175"
"District level","2019/2020","Q1","073","Kamloops-Thompson","Teacher","M","238","230.676","44","79795"
"District level","2019/2020","Q1","074","Gold Trail","Administrator","All","14","14","45","126707"
"District level","2019/2020","Q1","074","Gold Trail","Administrator","F","Msk","Msk","Msk","Msk"
"District level","2019/2020","Q1","074","Gold Trail","Administrator","M","Msk","Msk","Msk","Msk"
"District level","2019/2020","Q1","074","Gold Trail","Educator","All","95","93.7","43","81232"
"District level","2019/2020","Q1","074","Gold Trail","Educator","F","66","64.7","44","82184"
"District level","2019/2020","Q1","074","Gold Trail","Educator","M","29","29","43","79034"
"District level","2019/2020","Q1","074","Gold Trail","Teacher","All","81","79.7","43","73468"
"District level","2019/2020","Q1","074","Gold Trail","Teacher","F","55","53.7","43","73168"
"District level","2019/2020","Q1","075","Mission","Administrator","F","24","24","49","116410"
"District level","2019/2020","Q1","075","Mission","Educator","All","455","432.261","46","79983"
"District level","2019/2020","Q1","075","Mission","Educator","F","331","310.727","45","78208"
"District level","2019/2020","Q1","075","Mission","Educator","M","124","121.534","48","84869"
"District level","2019/2020","Q1","075","Mission","Teacher","All","417","394.261","45","75692"
"District level","2019/2020","Q1","075","Mission","Teacher","F","307","286.727","44","74544"
"District level","2019/2020","Q1","075","Mission","Teacher","M","110","107.534","48","78986"
"District level","2019/2020","Q1","078","Fraser-Cascade","Administrator","All","15","15","55","123724"
"District level","2019/2020","Q1","078","Fraser-Cascade","Administrator","F","Msk","Msk","Msk","Msk"
"District level","2019/2020","Q1","078","Fraser-Cascade","Administrator","M","Msk","Msk","Msk","Msk"
"District level","2019/2020","Q1","078","Fraser-Cascade","Educator","M","47","50.5","44","80979"
"District level","2019/2020","Q1","078","Fraser-Cascade","Teacher","F","81","83.8618","43","73184"
"District level","2019/2020","Q1","078","Fraser-Cascade","Teacher","M","41","44.5","42","75149"
"District level","2019/2020","Q1","079","Cowichan Valley","Administrator","All","49","48.2","49","123211"
"District level","2019/2020","Q1","079","Cowichan Valley","Administrator","F","30","29.2","49","121798"
"District level","2019/2020","Q1","079","Cowichan Valley","Educator","F","465","422.915","46","78947"
"District level","2019/2020","Q1","079","Cowichan Valley","Educator","M","164","155.181","45","81848"
"District level","2019/2020","Q1","079","Cowichan Valley","Teacher","All","580","529.896","45","76125"
"District level","2019/2020","Q1","079","Cowichan Valley","Teacher","F","435","393.715","45","76078"
"District level","2019/2020","Q1","079","Cowichan Valley","Teacher","M","145","136.181","45","76265"
"District level","2019/2020","Q1","081","Fort Nelson","Administrator","All","Msk","Msk","Msk","Msk"
"District level","2019/2020","Q1","081","Fort Nelson","Administrator","F","Msk","Msk","Msk","Msk"
"District level","2019/2020","Q1","081","Fort Nelson","Educator","All","52","49.669","43","84471"
"District level","2019/2020","Q1","081","Fort Nelson","Educator","F","39","37.6016","44","84357"
"District level","2019/2020","Q1","081","Fort Nelson","Educator","M","13","12.0674","43","84794"
"District level","2019/2020","Q1","081","Fort Nelson","Teacher","All","45","42.669","42","78774"
"District level","2019/2020","Q1","081","Fort Nelson","Teacher","F","33","31.6016","42","77612"
"District level","2019/2020","Q1","082","Coast Mountains","Administrator","F","20","20","49","124748"
"District level","2019/2020","Q1","082","Coast Mountains","Administrator","M","14","14","49","120396"
"District level","2019/2020","Q1","082","Coast Mountains","Educator","All","338","322.599","46","79103"
"District level","2019/2020","Q1","082","Coast Mountains","Educator","F","242","229.938","46","78579"
"District level","2019/2020","Q1","082","Coast Mountains","Educator","M","96","92.661","47","80465"
"District level","2019/2020","Q1","082","Coast Mountains","Teacher","All","304","288.599","46","74370"
"District level","2019/2020","Q1","082","Coast Mountains","Teacher","M","82","78.661","47","73730"
"District level","2019/2020","Q1","083","North Okanagan-Shuswap","Administrator","All","47","47","47","120923"
"District level","2019/2020","Q1","083","North Okanagan-Shuswap","Administrator","F","22","22","47","118460"
"District level","2019/2020","Q1","083","North Okanagan-Shuswap","Educator","All","503","456.2937","45","80152"
"District level","2019/2020","Q1","083","North Okanagan-Shuswap","Educator","F","355","312.9537","44","78359"
"District level","2019/2020","Q1","083","North Okanagan-Shuswap","Educator","M","148","143.34","46","84625"
"District level","2019/2020","Q1","083","North Okanagan-Shuswap","Teacher","F","333","290.9537","44","76040"
"District level","2019/2020","Q1","083","North Okanagan-Shuswap","Teacher","M","123","118.34","46","77939"
"District level","2019/2020","Q1","084","Vancouver Island West","Administrator","All","36","13","46","128726"
"District level","2019/2020","Q1","084","Vancouver Island West","Administrator","F","21","2","41","116525"
"District level","2019/2020","Q1","084","Vancouver Island West","Administrator","M","15","11","52","130944"
"District level","2019/2020","Q1","084","Vancouver Island West","Educator","All","82","57.314","47","84837"
"District level","2019/2020","Q1","084","Vancouver Island West","Educator","F","51","31.514","44","76111"
"District level","2019/2020","Q1","084","Vancouver Island West","Educator","M","31","25.8","50","95502"
"District level","2019/2020","Q1","085","Vancouver Island North","Administrator","All","19","18.4697","47","112661"
"District level","2019/2020","Q1","085","Vancouver Island North","Administrator","M","Msk","Msk","Msk","Msk"
"District level","2019/2020","Q1","085","Vancouver Island North","Educator","All","100","95.02","46","82108"
"District level","2019/2020","Q1","085","Vancouver Island North","Educator","F","79","74.16","46","82476"
"District level","2019/2020","Q1","085","Vancouver Island North","Educator","M","21","20.86","47","80758"
"District level","2019/2020","Q1","085","Vancouver Island North","Teacher","All","82","76.5503","46","76683"
"District level","2019/2020","Q1","085","Vancouver Island North","Teacher","F","62","56.6903","46","75927"
"District level","2019/2020","Q1","085","Vancouver Island North","Teacher","M","20","19.86","47","79038"
"District level","2019/2020","Q1","087","Stikine","Administrator","F","Msk","Msk","Msk","Msk"
"District level","2019/2020","Q1","087","Stikine","Educator","All","24","23","44","85675"
"District level","2019/2020","Q1","087","Stikine","Educator","M","Msk","Msk","Msk","Msk"
"District level","2019/2020","Q1","087","Stikine","Teacher","All","18","17","43","74961"
"District level","2019/2020","Q1","087","Stikine","Teacher","F","Msk","Msk","Msk","Msk"
"District level","2019/2020","Q1","087","Stikine","Teacher","M","Msk","Msk","Msk","Msk"
"District level","2019/2020","Q1","091","Nechako Lakes","Administrator","All","26","26","50","123787"
"District level","2019/2020","Q1","091","Nechako Lakes","Administrator","F","16","16","49","120780"
"District level","2019/2020","Q1","091","Nechako Lakes","Educator","All","290","271.5","46","83245"
"District level","2019/2020","Q1","091","Nechako Lakes","Educator","F","195","178.3","46","82949"
"District level","2019/2020","Q1","091","Nechako Lakes","Educator","M","95","93.2","45","83833"
"District level","2019/2020","Q1","091","Nechako Lakes","Teacher","F","179","162.3","46","79490"
"District level","2019/2020","Q1","091","Nechako Lakes","Teacher","M","85","83.2","44","78628"
"District level","2019/2020","Q1","092","Nisga'a","Administrator","All","Msk","Msk","Msk","Msk"
"District level","2019/2020","Q1","092","Nisga'a","Administrator","F","Msk","Msk","Msk","Msk"
"District level","2019/2020","Q1","092","Nisga'a","Administrator","M","Msk","Msk","Msk","Msk"
"District level","2019/2020","Q1","092","Nisga'a","Educator","F","28","27.7","52","88370"
"District level","2019/2020","Q1","092","Nisga'a","Educator","M","12","12","58","90615"
"District level","2019/2020","Q1","092","Nisga'a","Teacher","All","34","33.7","55","81542"
"District level","2019/2020","Q1","092","Nisga'a","Teacher","F","24","23.7","53","82111"
"District level","2019/2020","Q1","092","Nisga'a","Teacher","M","10","10","59","80176"
"District level","2019/2020","Q1","093","Conseil scolaire francophone","Administrator","All","54","53.5","49","125852"
"District level","2019/2020","Q1","093","Conseil scolaire francophone","Administrator","M","20","20","48","125726"
"District level","2019/2020","Q1","093","Conseil scolaire francophone","Educator","All","538","485.7207","44","77292"
"District level","2019/2020","Q1","093","Conseil scolaire francophone","Educator","M","118","108.8719","44","80659"
"District level","2019/2020","Q1","093","Conseil scolaire francophone","Teacher","F","387","343.3488","43","72269"
"District level","2019/2020","Q1","093","Conseil scolaire francophone","Teacher","M","98","88.8719","43","72075"
"District level","2019/2020","Q4","005","Southeast Kootenay","Administrator","All","38","38","48","116287"
"District level","2019/2020","Q4","005","Southeast Kootenay","Administrator","F","23","23","47","115429"
"District level","2019/2020","Q4","005","Southeast Kootenay","Administrator","M","15","15","48","117602"
"District level","2019/2020","Q4","005","Southeast Kootenay","Educator","All","440","405.433","43","81172"
"District level","2019/2020","Q4","005","Southeast Kootenay","Educator","M","105","100.375","43","85345"
"District level","2019/2020","Q4","005","Southeast Kootenay","Teacher","All","402","367.433","43","77902"
"District level","2019/2020","Q4","005","Southeast Kootenay","Teacher","F","312","282.058","43","77317"
"District level","2019/2020","Q4","005","Southeast Kootenay","Teacher","M","90","85.375","42","79969"
"District level","2019/2020","Q4","006","Rocky Mountain","Administrator","All","25","25","47","125399"
"District level","2019/2020","Q4","006","Rocky Mountain","Administrator","F","12","12","48","121726"
"District level","2019/2020","Q4","006","Rocky Mountain","Administrator","M","13","13","46","129073"
"District level","2019/2020","Q4","006","Rocky Mountain","Educator","All","245","224.9466","42","81833"
"District level","2019/2020","Q4","006","Rocky Mountain","Educator","M","63","59.8637","44","88077"
"District level","2019/2020","Q4","006","Rocky Mountain","Teacher","All","220","199.9466","42","77247"
"District level","2019/2020","Q4","006","Rocky Mountain","Teacher","F","170","153.0829","41","76743"
"District level","2019/2020","Q4","006","Rocky Mountain","Teacher","M","50","46.8637","43","78889"
"District level","2019/2020","Q4","008","Kootenay Lake","Administrator","All","35","34.6","50","106237"
"District level","2019/2020","Q4","008","Kootenay Lake","Administrator","M","17","17","51","105728"
"District level","2019/2020","Q4","008","Kootenay Lake","Educator","F","274","247.451","44","78562"
"District level","2019/2020","Q4","008","Kootenay Lake","Educator","M","119","112.774","44","79807"
"District level","2019/2020","Q4","008","Kootenay Lake","Teacher","F","256","229.851","43","76719"
"District level","2019/2020","Q4","008","Kootenay Lake","Teacher","M","102","95.774","43","75611"
"District level","2019/2020","Q4","010","Arrow Lakes","Administrator","F","Msk","Msk","Msk","Msk"
"District level","2019/2020","Q4","010","Arrow Lakes","Administrator","M","Msk","Msk","Msk","Msk"
"District level","2019/2020","Q4","010","Arrow Lakes","Educator","All","49","42.85","45","83431"
"District level","2019/2020","Q4","010","Arrow Lakes","Educator","M","15","13.6","41","92191"
"District level","2019/2020","Q4","010","Arrow Lakes","Teacher","All","42","35.85","45","76192"
"District level","2019/2020","Q4","010","Arrow Lakes","Teacher","F","Msk","Msk","Msk","Msk"
"District level","2019/2020","Q4","019","Revelstoke","Administrator","All","Msk","Msk","Msk","Msk"
"District level","2019/2020","Q4","019","Revelstoke","Administrator","F","Msk","Msk","Msk","Msk"
"District level","2019/2020","Q4","019","Revelstoke","Administrator","M","Msk","Msk","Msk","Msk"
"District level","2019/2020","Q4","019","Revelstoke","Educator","All","91","84.075","43","82149"
"District level","2019/2020","Q4","019","Revelstoke","Educator","M","25","22.653","45","87733"
"District level","2019/2020","Q4","019","Revelstoke","Teacher","All","83","76.075","42","78474"
"District level","2019/2020","Q4","019","Revelstoke","Teacher","M","20","17.653","43","77334"
"District level","2019/2020","Q4","020","Kootenay-Columbia","Administrator","All","24","24","49","121650"
"District level","2019/2020","Q4","020","Kootenay-Columbia","Administrator","F","11","11","52","124921"
"District level","2019/2020","Q4","020","Kootenay-Columbia","Administrator","M","13","13","47","118882"
"District level","2019/2020","Q4","020","Kootenay-Columbia","Educator","All","273","260.581","42","80812"
"District level","2019/2020","Q4","020","Kootenay-Columbia","Educator","F","208","198.263","42","78795"
"District level","2019/2020","Q4","020","Kootenay-Columbia","Educator","M","65","62.318","44","87367"
"District level","2019/2020","Q4","020","Kootenay-Columbia","Teacher","F","197","187.263","41","76219"
"District level","2019/2020","Q4","022","Vernon","Administrator","All","47","47","46","120177"
"District level","2019/2020","Q4","022","Vernon","Administrator","F","23","23","49","121060"
"District level","2019/2020","Q4","022","Vernon","Administrator","M","24","24","44","119330"
"District level","2019/2020","Q4","022","Vernon","Educator","F","434","365.4534","44","81770"
"District level","2019/2020","Q4","022","Vernon","Educator","M","184","168.7501","46","89083"
"District level","2019/2020","Q4","022","Vernon","Teacher","All","571","487.2035","44","80940"
"District level","2019/2020","Q4","022","Vernon","Teacher","F","411","342.4534","43","79528"
"District level","2019/2020","Q4","022","Vernon","Teacher","M","160","144.7501","47","84517"
"District level","2019/2020","Q4","023","Central Okanagan","Administrator","All","103","102.6","48","124530"
"District level","2019/2020","Q4","023","Central Okanagan","Administrator","F","41","40.6","49","120835"
"District level","2019/2020","Q4","023","Central Okanagan","Administrator","M","62","62","47","126974"
"District level","2019/2020","Q4","023","Central Okanagan","Teacher","All","1525","1444.5351","43","79308"
"District level","2019/2020","Q4","023","Central Okanagan","Teacher","M","371","365.4356","44","80732"
"District level","2019/2020","Q4","027","Cariboo-Chilcotin","Administrator","All","63","35","46","118727"
"District level","2019/2020","Q4","027","Cariboo-Chilcotin","Administrator","F","35","13","43","111542"
"District level","2019/2020","Q4","027","Cariboo-Chilcotin","Administrator","M","28","22","49","122972"
"District level","2019/2020","Q4","027","Cariboo-Chilcotin","Educator","All","392","343.108","45","78241"
"District level","2019/2020","Q4","027","Cariboo-Chilcotin","Educator","F","284","242.523","45","75918"
"District level","2019/2020","Q4","027","Cariboo-Chilcotin","Educator","M","108","100.585","46","85293"
"District level","2019/2020","Q4","027","Cariboo-Chilcotin","Teacher","F","249","229.523","45","74448"
"District level","2019/2020","Q4","028","Quesnel","Administrator","All","24","23","50","108073"
"District level","2019/2020","Q4","028","Quesnel","Administrator","F","Msk","Msk","Msk","Msk"
"District level","2019/2020","Q4","028","Quesnel","Administrator","M","Msk","Msk","Msk","Msk"
"District level","2019/2020","Q4","028","Quesnel","Educator","F","185","167.8464","45","78698"
"District level","2019/2020","Q4","028","Quesnel","Educator","M","63","62.3571","43","80087"
"District level","2019/2020","Q4","028","Quesnel","Teacher","All","224","207.2035","44","76497"
"District level","2019/2020","Q4","028","Quesnel","Teacher","F","168","151.8464","45","76370"
"District level","2019/2020","Q4","028","Quesnel","Teacher","M","56","55.3571","43","76917"
"District level","2019/2020","Q4","033","Chilliwack","Administrator","All","67","67","48","123829"
"District level","2019/2020","Q4","033","Chilliwack","Administrator","M","34","34","49","127626"
"District level","2019/2020","Q4","033","Chilliwack","Educator","All","936","893.463","43","80725"
"District level","2019/2020","Q4","033","Chilliwack","Educator","F","647","609.3755","43","79348"
"District level","2019/2020","Q4","033","Chilliwack","Educator","M","289","284.0875","44","83973"
"District level","2019/2020","Q4","033","Chilliwack","Teacher","F","614","576.3755","43","77449"
"District level","2019/2020","Q4","033","Chilliwack","Teacher","M","255","250.0875","44","78653"
"District level","2019/2020","Q4","034","Abbotsford","Administrator","All","95","94","48","126892"
"District level","2019/2020","Q4","034","Abbotsford","Administrator","F","51","51","47","121197"
"District level","2019/2020","Q4","034","Abbotsford","Educator","All","1395","1301.739","43","80098"
"District level","2019/2020","Q4","034","Abbotsford","Educator","F","990","908.182","42","78317"
"District level","2019/2020","Q4","034","Abbotsford","Educator","M","405","393.557","44","84584"
"District level","2019/2020","Q4","034","Abbotsford","Teacher","F","939","857.182","42","76282"
"District level","2019/2020","Q4","034","Abbotsford","Teacher","M","361","350.557","43","79362"
"District level","2019/2020","Q4","035","Langley","Administrator","All","103","98.9","48","125006"
"District level","2019/2020","Q4","035","Langley","Administrator","F","44","42.9","48","119791"
"District level","2019/2020","Q4","035","Langley","Administrator","M","59","56","47","129009"
"District level","2019/2020","Q4","035","Langley","Educator","F","1263","1111.559","41","76371"
"District level","2019/2020","Q4","035","Langley","Educator","M","434","409.7902","43","82061"
"District level","2019/2020","Q4","036","Surrey","Administrator","All","269","268","47","121398"
"District level","2019/2020","Q4","036","Surrey","Administrator","F","169","168","47","118438"
"District level","2019/2020","Q4","036","Surrey","Administrator","M","100","100","48","126731"
"District level","2019/2020","Q4","036","Surrey","Educator","All","4053","3707.535","45","85904"
"District level","2019/2020","Q4","036","Surrey","Educator","F","3069","2749.96","44","84821"
"District level","2019/2020","Q4","036","Surrey","Educator","M","984","957.575","47","89116"
"District level","2019/2020","Q4","036","Surrey","Teacher","F","2900","2581.96","44","82330"
"District level","2019/2020","Q4","036","Surrey","Teacher","M","884","857.575","47","84295"
"District level","2019/2020","Q4","037","Delta","Administrator","F","44","43.6","49","123724"
"District level","2019/2020","Q4","037","Delta","Administrator","M","35","35","47","134646"
"District level","2019/2020","Q4","037","Delta","Educator","All","1237","1120.987","44","82629"
"District level","2019/2020","Q4","037","Delta","Educator","M","325","306.635","44","85904"
"District level","2019/2020","Q4","037","Delta","Teacher","All","1158","1042.387","43","79418"
"District level","2019/2020","Q4","037","Delta","Teacher","F","868","770.752","43","79288"
"District level","2019/2020","Q4","037","Delta","Teacher","M","290","271.635","44","79811"
"District level","2019/2020","Q4","038","Richmond","Administrator","All","138","106.7","50","129027"
"District level","2019/2020","Q4","038","Richmond","Administrator","M","62","53","50","130339"
"District level","2019/2020","Q4","038","Richmond","Educator","All","1684","1542.0907","43","80080"
"District level","2019/2020","Q4","038","Richmond","Teacher","All","1546","1435.3907","42","77240"
"District level","2019/2020","Q4","038","Richmond","Teacher","F","1115","1020.5002","42","77621"
"District level","2019/2020","Q4","038","Richmond","Teacher","M","431","414.8905","42","76182"
"District level","2019/2020","Q4","039","Vancouver","Administrator","All","280","204","51","127595"
"District level","2019/2020","Q4","039","Vancouver","Administrator","M","113","85","51","129450"
"District level","2019/2020","Q4","039","Vancouver","Educator","All","3529","3210.0795","45","83514"
"District level","2019/2020","Q4","039","Vancouver","Educator","F","2572","2304.6795","45","82681"
"District level","2019/2020","Q4","039","Vancouver","Teacher","All","3273","3006.0795","44","80811"
"District level","2019/2020","Q4","039","Vancouver","Teacher","M","856","820.4","45","81487"
"District level","2019/2020","Q4","040","New Westminster","Administrator","All","49","34","45","126588"
"District level","2019/2020","Q4","040","New Westminster","Administrator","F","28","21","44","124476"
"District level","2019/2020","Q4","040","New Westminster","Administrator","M","21","13","46","129998"
"District level","2019/2020","Q4","040","New Westminster","Educator","F","375","334.364","43","80948"
"District level","2019/2020","Q4","040","New Westminster","Educator","M","158","144.899","45","84441"
"District level","2019/2020","Q4","040","New Westminster","Teacher","All","484","445.263","44","79033"
"District level","2019/2020","Q4","040","New Westminster","Teacher","F","347","313.364","43","78543"
"District level","2019/2020","Q4","040","New Westminster","Teacher","M","137","131.899","45","80328"
"District level","2019/2020","Q4","041","Burnaby","Administrator","All","89","89","50","129607"
"District level","2019/2020","Q4","041","Burnaby","Administrator","F","41","41","51","128941"
"District level","2019/2020","Q4","041","Burnaby","Educator","F","1456","1302.3271","43","80205"
"District level","2019/2020","Q4","041","Burnaby","Teacher","All","1858","1690.2941","43","78939"
"District level","2019/2020","Q4","041","Burnaby","Teacher","F","1415","1261.3271","43","78813"
"District level","2019/2020","Q4","042","Maple Ridge-Pitt Meadows","Administrator","All","70","69.2","48","122506"
"District level","2019/2020","Q4","042","Maple Ridge-Pitt Meadows","Administrator","F","40","39.2","47","118135"
"District level","2019/2020","Q4","042","Maple Ridge-Pitt Meadows","Administrator","M","30","30","49","128334"
"District level","2019/2020","Q4","042","Maple Ridge-Pitt Meadows","Educator","All","1142","1069.0434","44","80896"
"District level","2019/2020","Q4","042","Maple Ridge-Pitt Meadows","Educator","F","840","777.168","43","79576"
"District level","2019/2020","Q4","042","Maple Ridge-Pitt Meadows","Teacher","F","800","737.968","42","77759"
"District level","2019/2020","Q4","043","Coquitlam","Administrator","All","135","135","50","135406"
"District level","2019/2020","Q4","043","Coquitlam","Administrator","F","65","65","52","133267"
"District level","2019/2020","Q4","043","Coquitlam","Administrator","M","70","70","49","137392"
"District level","2019/2020","Q4","043","Coquitlam","Educator","All","2411","2228.2621","44","81675"
